id,agenda_id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos_booked
78695,57499,2026-05-02,65000,1,No disponible,65
78696,57499,2025-09-26,1036000,1,No disponible,148
78697,57499,2026-03-12,,1,,38
78698,57499,2025-11-12,25000,1,No disponible,25
78699,57499,2025-01-18,24000,1,No disponible,24
78700,57499,2025-02-23,100000,1,No disponible,-100
78701,57499,2025-03-23,85000,1,No disponible,85
78702,57499,2026-06-15,66000,1,No disponible,
78703,57499,2025-02-11,,1,No disponible,238
78707,59495,2026-02-02,635000,5,,635
78721,61890,2026-05-01,455000,5,,455
78722,61890,2026-07-30,195000,5,No disponible,-195
78724,61890,2026-09-07,495000,5,,495
,61890,2026-07-18,185000,5,No disponible,185
,65694,2025-12-18,120000,2,No disponible,120
,,2025-02-08,85000,2,No disponible,34
78745,65694,2025-07-15,36000,2,No disponible,-36
78748,65694,2025-12-25,768000,2,,768
,65694,2025-03-04,126000,2,No disponible,126
78752,65694,2025-04-10,18000,,,18
78756,61169,2025-09-17,158000,2,,158
78762,64251,2025-05-12,108000,3,No disponible,54
78763,64251,2025-09-26,153000,3,No disponible,153
78764,64251,2026-04-22,258000,3,No disponible,258
78765,64251,,126000,3,No disponible,126
78766,64251,2025-07-09,234000,3,No disponible,234
78767,,2026-09-29,255000,3,,255
78768,64251,2025-12-29,348000,3,No disponible,348
78769,64251,2026-08-14,,3,No disponible,354
78770,64251,2026-04-18,174000,3,No disponible,174
78771,64251,2025-08-28,153000,3,No disponible,
78772,64251,2025-06-29,390000,3,No disponible,390
,64517,2025-05-14,,6,No disponible,306
78778,64517,2026-01-10,1104000,6,No disponible,-1104
78779,64517,2025-01-07,287000,6,,246
78781,64517,2025-06-28,570000,6,,570
78793,63963,2026-05-06,144000,8,No disponible,-144
78794,63963,2025-06-15,-1480000,8,No disponible,1480
,66032,2025-05-22,186000,6,No disponible,186
78804,66032,2025-12-05,-216000,6,No disponible,216
78808,,,-144000,6,No disponible,144
78810,64406,2025-01-01,945000,9,,945
78813,64406,2025-01-09,-630000,9,No disponible,630
78823,65524,2025-02-23,1520000,10,No disponible,-1520
78824,65524,2026-09-06,1310000,10,No disponible,
78825,65524,2025-04-06,324000,10,No disponible,1080
78826,65524,2026-07-28,600000,10,No disponible,600
78827,65524,2025-03-29,750000,10,No disponible,750
78834,55765,2025-04-04,1730000,10,No disponible,1730
78835,55765,2025-03-08,780000,10,No disponible,780
78836,55765,2025-04-14,500000,10,No disponible,500
78838,55892,2025-04-05,1458000,9,,1458
78848,60607,2025-03-02,-783000,9,No disponible,783
,60063,2025-03-22,155000,1,No disponible,155
78850,60063,2025-02-03,29000,1,No disponible,29
78858,62775,2025-04-04,69000,1,No disponible,69
78859,62775,2025-11-24,182000,1,No disponible,182
78860,62038,2025-02-28,,5,,310
78867,62038,2025-07-14,500000,,,500
,62250,2025-04-24,124000,7,No disponible,434
78870,62250,2025-02-10,399000,7,,399
,,2025-02-12,1494000,9,No disponible,-1494
78874,63596,,-86000,,No disponible,774
78875,62032,2025-05-15,-552000,8,No disponible,552
78876,56813,2025-04-25,195000,3,,195
78882,58412,2025-01-13,-2544000,8,No disponible,2544
,57419,2025-07-18,1687000,7,No disponible,1687
78895,57419,2025-06-11,300000,7,No disponible,-1050
,61699,2025-04-05,640000,8,No disponible,640
,57811,2025-09-11,126000,2,No disponible,-126
78915,61239,2025-01-08,153000,3,No disponible,-153
78917,61239,2025-05-10,,3,,225
,,2026-06-05,150000,3,No disponible,150
78922,61911,2025-03-09,520000,8,,520
78924,61911,2026-06-28,-112000,8,,112
78934,,,,6,,462
78944,62717,2025-01-01,,8,,848
,,2025-03-18,224000,8,No disponible,224
78950,,2025-01-27,896000,8,No disponible,-896
,62717,2025-03-19,532000,8,No disponible,608
78964,65699,2026-01-02,1240000,10,No disponible,1240
78965,65699,2026-01-09,1170000,10,No disponible,1170
78966,65699,2025-12-17,30000,10,No disponible,50
78967,65699,2025-11-24,300000,10,No disponible,300
78968,65699,2025-12-11,,,,130
78969,65699,2025-03-20,820000,10,,820
78970,65699,2025-10-25,580000,10,No disponible,580
78971,65699,2025-07-11,170000,10,No disponible,170
78972,57095,2025-07-13,-332000,,No disponible,332
78974,60662,2025-05-02,198000,3,,
78986,59953,2025-01-10,126000,3,,126
78990,59953,2025-02-12,-846000,3,,141
78998,56112,2025-10-16,-696000,8,No disponible,696
,66365,2025-03-13,364000,7,No disponible,364
,60046,2025-01-03,679000,7,No disponible,679
79017,60046,,-861000,7,No disponible,861
79023,60365,2025-03-20,2240000,,No disponible,2240
79024,60365,,308000,8,No disponible,352
79025,60365,2025-01-18,,8,No disponible,88
79027,60365,2025-04-06,144000,8,No disponible,144
79029,60365,2025-02-09,40000,8,No disponible,40
79030,60365,2025-03-12,272000,8,No disponible,272
79031,60365,2025-02-19,1440000,8,No disponible,1440
79032,60365,2025-03-04,1760000,8,No disponible,440
79033,60365,2025-01-20,200000,8,No disponible,200
79034,60365,2025-01-20,184000,,No disponible,184
79035,60365,2025-03-17,184000,8,No disponible,184
79061,59724,2025-02-03,112000,1,No disponible,112
79046,65530,2025-11-08,528000,3,No disponible,528
79047,65530,2025-08-19,258000,3,No disponible,258
79048,65530,2025-01-26,2175000,3,,435
79049,65530,2025-11-05,228000,3,No disponible,228
79050,65530,2025-09-30,57000,3,No disponible,57
79051,65530,2025-06-29,-27000,3,No disponible,27
79052,65530,2025-04-01,291000,3,No disponible,291
79062,59724,2025-12-02,104000,1,No disponible,104
79063,59724,,-68000,1,,17
79064,59724,2026-01-01,17000,1,No disponible,17
79065,59724,2026-01-17,77000,1,No disponible,77
79066,59724,2025-12-19,-98000,1,No disponible,98
79070,64296,2025-03-16,-3360000,8,No disponible,3360
79073,62318,2025-01-28,819000,9,No disponible,819
79074,62318,2025-03-11,-189000,9,No disponible,189
79075,62318,2025-03-15,909000,9,No disponible,909
79076,62318,2025-02-12,2304000,9,No disponible,1152
79077,62318,2025-03-19,846000,9,No disponible,846
,62318,2025-03-01,1629000,9,No disponible,1629
79079,65152,2025-03-30,96000,6,No disponible,-96
79091,56732,2026-02-02,-54000,1,No disponible,54
79094,56732,2026-05-09,147000,1,No disponible,-147
79096,60574,,52000,,,52
79102,57829,2025-08-25,552000,9,,1242
79103,57829,2025-03-14,468000,9,,468
79104,57829,2025-05-01,-756000,9,No disponible,756
,57829,2026-01-31,612000,9,No disponible,612
79110,57829,2025-08-27,-2178000,9,No disponible,2178
79120,59943,2025-05-25,864000,9,,864
,59943,2025-04-01,675000,9,No disponible,675
,59943,2025-03-04,,9,No disponible,234
79131,56872,2025-06-30,-1580000,,No disponible,1580
,56872,2025-06-27,-50000,,No disponible,50
79162,64137,2025-01-11,73000,1,No disponible,
79138,64987,2025-02-11,570000,8,No disponible,-760
79145,60905,2025-02-22,1810000,10,,1810
79146,60905,2025-04-17,645000,10,No disponible,1290
79147,60905,,400000,10,No disponible,400
79148,60905,,560000,10,No disponible,560
79149,60905,2025-01-15,810000,10,No disponible,810
79150,60905,2025-05-26,510000,10,No disponible,510
79151,60905,2025-01-24,620000,10,No disponible,620
79152,60905,2025-06-06,970000,10,No disponible,970
,57469,2025-04-08,52000,1,No disponible,
79155,57469,2025-04-07,-495000,,No disponible,99
79157,57469,2025-02-18,-8000,1,No disponible,8
79159,57469,2025-03-08,15000,1,No disponible,-15
79160,64137,2025-01-05,39000,1,No disponible,39
79161,64137,2025-01-08,580000,1,No disponible,116
79163,64137,2025-01-08,41000,1,No disponible,41
79164,64137,2025-01-09,12000,1,No disponible,12
79165,64137,2025-01-10,27000,1,No disponible,27
79166,64137,2025-01-03,147000,1,No disponible,147
79167,64137,2025-01-13,666000,1,No disponible,111
,64137,2025-01-05,57000,1,No disponible,57
79169,64137,2025-01-07,26000,1,No disponible,26
79170,64137,2025-01-12,32000,1,No disponible,32
79171,64137,2025-01-12,19000,1,No disponible,19
79172,64137,2025-01-18,59000,1,No disponible,59
,57244,2025-04-14,710000,,,710
79175,61071,2025-01-31,35000,7,No disponible,-35
79179,63024,2025-12-07,296000,4,No disponible,296
79180,63024,2025-04-13,75000,4,No disponible,
,65182,2025-01-09,1248000,4,No disponible,208
79188,64209,2025-10-16,1800000,10,No disponible,1800
79189,64209,2025-05-24,1880000,10,No disponible,
79190,64209,2026-04-07,4000000,10,No disponible,4000
79192,59443,2025-11-10,-320000,2,No disponible,320
,59443,2025-12-18,62000,,No disponible,-62
79198,59443,2025-02-17,130000,,No disponible,-130
79199,64010,,385000,7,No disponible,385
79200,64010,2026-02-07,1141000,,No disponible,1141
79201,64010,2025-01-20,609000,7,No disponible,609
79212,64236,2025-04-23,903000,7,No disponible,903
79213,64236,2025-05-04,854000,7,No disponible,854
79214,64236,,5145000,7,No disponible,1029
79215,64236,2025-04-02,119000,7,No disponible,119
79216,64236,2025-05-17,567000,7,No disponible,567
79217,64236,2025-05-16,119000,7,No disponible,119
79219,64236,2025-03-25,1043000,7,No disponible,1043
79220,,2025-02-10,-196000,7,No disponible,49
79221,64236,2025-04-16,644000,7,No disponible,644
79223,64236,2025-04-02,,7,No disponible,
79226,55943,2025-12-01,80000,5,No disponible,-80
79228,55943,2026-02-10,385000,5,,385
79232,55943,2026-02-05,645000,,,645
79235,55943,2025-08-08,135000,5,No disponible,-135
79236,55943,2025-12-27,-85000,5,No disponible,85
,56005,2025-09-13,588000,6,No disponible,588
79239,56005,,228000,6,No disponible,228
79242,56005,2025-06-23,240000,6,No disponible,240
79243,56005,2025-06-11,552000,6,No disponible,552
79244,56005,2025-04-24,414000,6,No disponible,414
79245,,2026-02-10,-370000,5,No disponible,370
79251,58270,2025-10-18,,5,,350
79254,63929,2025-06-23,69000,3,,69
,56485,2026-03-19,-1330000,7,No disponible,1330
79260,56485,2025-10-24,-474000,7,No disponible,553
79267,65399,2025-01-08,,9,No disponible,-918
,60294,2026-05-08,22000,2,No disponible,22
79278,61250,2025-12-08,360000,5,No disponible,-120
79286,55852,2025-01-19,-1020000,4,No disponible,1020
79289,55852,2025-01-03,-1032000,4,No disponible,1032
,56827,2026-03-12,600000,8,,600
79311,65981,2025-11-25,610000,10,No disponible,610
79312,62618,2026-01-22,1218000,6,No disponible,
79313,62618,2025-07-04,54000,6,No disponible,162
79314,62618,2026-04-06,594000,6,No disponible,594
,62618,2025-04-15,1746000,,No disponible,1746
79331,60506,2025-05-02,-400000,2,No disponible,
79332,60506,2025-03-17,342000,2,No disponible,-342
79333,60506,2025-09-29,340000,2,No disponible,340
79334,60506,2025-01-26,128000,2,No disponible,64
79335,60506,2025-01-29,30000,2,No disponible,30
79336,58351,2025-09-10,-945000,7,No disponible,945
79338,56338,2025-01-01,2673000,9,,2673
,64429,2025-12-17,640000,8,No disponible,640
,64429,2026-07-19,648000,8,No disponible,648
79356,61177,,-134000,2,No disponible,134
79367,62401,2026-08-23,82000,2,,82
79368,62401,2025-01-20,-178000,2,No disponible,178
,62401,,26000,2,No disponible,26
,62695,2025-07-25,396000,3,No disponible,198
,62695,2025-06-14,114000,3,No disponible,114
,62695,,240000,3,No disponible,240
,62695,2025-01-29,33000,3,No disponible,33
79383,62695,2025-06-21,120000,3,,120
79391,60235,2025-04-16,927000,9,No disponible,927
79392,60235,2025-09-23,522000,9,No disponible,
79393,60235,2025-06-29,54000,9,No disponible,54
79394,60235,2025-09-22,324000,,No disponible,324
79395,60235,2025-06-27,585000,9,No disponible,585
79396,60235,2025-12-02,261000,9,No disponible,261
79398,60235,2025-01-10,1089000,9,No disponible,1089
79399,60235,2025-09-08,-891000,9,No disponible,891
79400,60235,2025-09-05,42000,9,No disponible,-378
79402,59790,2025-03-26,520000,4,No disponible,-520
79404,56823,2025-06-22,2871000,9,No disponible,2871
79406,60295,2026-03-17,292000,2,No disponible,146
79407,60295,2026-03-12,58000,2,No disponible,58
79408,60295,2025-06-25,140000,2,No disponible,140
79409,60295,2025-07-29,104000,2,No disponible,52
79410,60295,2025-02-27,88000,2,No disponible,88
79411,60295,2025-02-05,64000,,,64
79412,60295,2026-01-11,62000,2,No disponible,62
79413,63031,2025-01-26,868000,7,No disponible,868
,63031,2025-01-30,1736000,7,No disponible,434
79416,63031,2025-02-11,301000,7,No disponible,301
79417,63031,2025-02-11,532000,7,No disponible,532
79418,63031,2025-02-08,1813000,7,No disponible,1813
79816,57352,2025-01-03,186000,,,186
79424,,2025-05-12,-64000,8,No disponible,64
79425,,2025-01-21,-456000,8,No disponible,456
,63981,2025-07-01,-64000,4,No disponible,64
79435,59106,2025-04-02,1832000,8,,1832
79441,57064,2025-05-20,372000,2,No disponible,372
79442,57064,2025-06-29,366000,2,No disponible,366
79443,59745,2025-04-27,202000,2,No disponible,202
79444,59745,2025-03-28,23000,2,No disponible,46
79445,59745,2025-02-18,230000,2,No disponible,230
79446,59745,2025-05-14,,2,No disponible,26
79447,59745,2025-07-16,108000,2,No disponible,108
79448,59745,2025-04-06,98000,2,No disponible,98
79449,58632,2025-01-08,1413000,9,No disponible,1413
79450,58632,2025-01-07,50000,9,No disponible,90
79451,58632,2025-01-05,639000,9,No disponible,639
79452,58632,2025-01-08,684000,9,No disponible,684
79453,58632,2025-01-19,90000,9,No disponible,90
79454,58632,2025-01-03,513000,9,No disponible,513
79455,58632,2025-01-25,954000,9,,-954
79456,58632,2025-01-07,927000,9,No disponible,927
79462,60405,2025-12-25,102000,4,,68
79472,62751,2026-01-13,64000,2,,64
79475,62751,2025-06-21,192000,2,,192
79481,60179,2025-06-22,296000,8,,296
79484,60179,2025-05-31,168000,8,,168
79486,60179,2025-01-11,336000,8,No disponible,-336
79488,56497,2025-06-02,,7,No disponible,2576
,56293,2025-12-18,732000,4,No disponible,-732
79499,56293,2026-02-11,-284000,4,No disponible,284
79507,58375,2025-08-11,-472000,4,No disponible,472
79509,58375,2025-08-30,-156000,4,No disponible,-156
79513,61929,2025-06-23,2000000,10,No disponible,2000
,62377,2025-03-13,720000,9,No disponible,720
,62377,2025-03-11,747000,,No disponible,747
79525,56076,2025-01-01,855000,9,No disponible,855
79526,56076,2025-01-12,1764000,9,No disponible,
79527,56076,2026-03-19,351000,9,No disponible,117
79528,56076,2026-05-31,729000,9,No disponible,729
79529,56076,2025-10-17,-468000,9,No disponible,468
79530,56076,,792000,9,No disponible,792
79645,62273,2025-10-15,-30000,6,No disponible,30
79553,63622,2025-03-08,1057000,7,No disponible,-1057
79556,63622,2025-05-31,413000,7,,413
79566,64411,2025-03-21,100000,10,,100
79568,64411,,-190000,10,No disponible,190
79572,64411,2025-05-26,-760000,10,No disponible,760
79578,63662,2025-06-20,690000,10,,690
79587,62813,2025-07-07,1448000,8,No disponible,1448
79588,62813,2025-02-26,6288000,8,No disponible,1048
79589,62813,2025-01-12,,8,,384
79590,62813,2026-01-19,336000,8,No disponible,336
79591,62813,2025-10-20,496000,8,No disponible,496
79592,,,752000,,,752
79593,62813,2026-01-20,488000,8,No disponible,488
,61009,2025-01-18,1043000,7,No disponible,1043
79596,65712,2026-01-16,-384000,1,No disponible,384
79597,65712,2025-05-25,238000,1,No disponible,238
79598,65712,2025-07-15,274000,1,No disponible,274
79599,65712,2026-03-25,86000,1,No disponible,43
79600,65712,2025-03-25,9000,1,,9
79601,63786,2025-11-11,354000,2,,354
79603,59290,2025-09-05,668000,4,No disponible,668
79605,59290,2025-02-13,460000,4,No disponible,460
79613,60686,2025-08-10,357000,,,357
79614,60686,2025-10-08,900000,3,No disponible,180
79615,60686,2025-10-12,69000,3,No disponible,69
79616,60686,2025-06-08,162000,3,No disponible,162
79617,60686,2025-03-12,297000,3,No disponible,297
,60686,2025-03-02,36000,3,No disponible,36
79619,60686,2025-01-07,522000,3,No disponible,522
79620,60686,2025-07-15,462000,3,No disponible,462
,60686,2025-04-04,938000,3,No disponible,402
79622,60686,2025-10-04,72000,3,No disponible,72
79623,60686,2025-01-16,75000,3,No disponible,75
79624,60686,2025-08-31,27000,3,No disponible,27
79625,60686,2025-09-09,42000,3,No disponible,42
79626,60686,2025-08-26,228000,3,No disponible,228
79627,60686,2025-04-01,198000,3,No disponible,198
79630,63288,2025-01-04,435000,5,,435
79658,56145,2025-01-26,188000,4,,188
79661,56919,2026-07-01,-446000,1,No disponible,446
79662,56919,2026-07-11,-175000,1,No disponible,175
79663,56919,2026-04-19,301000,1,No disponible,43
79664,56919,2025-06-29,71000,1,No disponible,71
79665,56919,2025-02-04,18000,1,No disponible,18
79666,56919,,,1,No disponible,38
79667,56919,2026-01-04,34000,1,No disponible,34
79668,56919,2026-06-04,-33000,1,,33
79669,56919,2025-04-09,54000,1,No disponible,54
,63625,2025-03-13,322000,7,No disponible,322
79678,56042,2026-03-31,-121000,1,,121
,,2025-02-19,400000,8,,400
79684,62732,2026-04-05,744000,8,,744
79687,57971,2025-03-11,-172000,2,No disponible,172
,57971,2025-02-07,176000,2,No disponible,176
79690,57971,2025-04-13,201000,2,,
79694,,2025-01-26,-3600000,9,No disponible,3600
,61193,2025-01-16,190000,10,No disponible,190
79707,61945,2025-01-12,35000,7,No disponible,35
79708,61945,2025-05-26,133000,7,No disponible,-931
79713,58230,2025-02-27,999000,9,No disponible,999
79714,58230,2025-01-11,52000,9,No disponible,117
79715,58230,,99000,9,No disponible,99
79716,58230,2025-02-09,288000,9,No disponible,288
79717,58230,2025-02-03,513000,9,No disponible,513
,58230,2025-02-16,594000,9,No disponible,594
79719,58230,2025-01-28,164000,9,No disponible,738
79720,58230,2025-01-14,675000,9,No disponible,675
79721,58230,2025-01-16,1395000,9,,1395
,,2025-01-10,96000,4,No disponible,96
79729,63594,2025-05-18,567000,3,No disponible,
79730,63594,2025-05-20,416000,3,No disponible,312
79731,63594,2025-01-08,117000,3,No disponible,117
79732,63594,2025-03-14,261000,3,No disponible,261
79733,63594,2025-04-12,168000,3,No disponible,168
79734,63594,,597000,3,No disponible,597
79746,,2025-11-09,260000,5,No disponible,-260
79754,60955,2025-01-17,129000,,No disponible,645
79755,60955,2025-02-14,1060000,5,No disponible,1060
79756,60955,2025-01-16,480000,5,No disponible,480
,61612,2026-02-01,900000,5,No disponible,900
79769,62948,2025-01-13,-252000,9,No disponible,252
79773,,2025-08-15,-1856000,8,No disponible,
,61258,2025-10-27,135000,5,No disponible,135
,,2026-03-11,,5,No disponible,180
79788,56759,2025-04-18,396000,9,No disponible,-396
79796,60299,2025-12-16,-29000,1,No disponible,29
79803,58168,2025-03-20,212000,1,No disponible,-212
79804,58168,2025-01-15,286000,1,No disponible,286
79805,58168,2025-01-07,,1,No disponible,121
79806,58168,2025-03-20,87000,1,No disponible,87
79807,58168,2025-03-23,127000,1,No disponible,127
79811,57352,2025-01-14,-240000,6,No disponible,240
79812,57352,2025-01-17,,6,,252
,57352,,2064000,6,No disponible,516
79820,59878,2025-07-28,-284000,10,No disponible,710
79826,59878,2025-01-14,740000,10,No disponible,-740
,58201,2025-03-24,380000,4,No disponible,380
79829,58201,2025-02-14,408000,4,,408
79830,58201,2025-02-08,-140000,4,No disponible,20
79842,59192,2025-03-03,-261000,,No disponible,261
79843,59192,2025-02-02,,9,No disponible,-225
79844,59192,2025-07-02,387000,9,,387
79849,62657,2025-09-26,,1,No disponible,-54
79850,62657,2025-01-24,71000,1,,71
79858,56379,2025-02-22,604000,4,No disponible,604
79859,56379,2025-02-09,288000,4,No disponible,288
146156,,,,,,0
79860,56379,2025-02-27,1168000,4,No disponible,584
79862,56379,2025-03-20,88000,4,No disponible,88
,58711,2025-10-31,,7,No disponible,210
79868,58711,2025-08-27,-518000,7,No disponible,
79880,66438,2025-03-08,-312000,6,No disponible,312
79881,61007,2025-04-24,1350000,,No disponible,1350
79882,61007,2025-05-16,3950000,,No disponible,790
79883,61007,2025-03-18,210000,10,No disponible,210
79884,61007,2025-03-15,680000,10,No disponible,680
79885,61007,,440000,10,No disponible,440
79887,61007,2025-02-17,2670000,10,No disponible,2670
79888,61007,2025-06-11,3930000,10,No disponible,3930
79891,63678,2025-03-08,940000,5,,940
79893,63678,2025-03-15,-335000,5,No disponible,335
79895,63678,2025-03-08,-475000,5,No disponible,475
79898,63678,2025-02-01,275000,5,,275
79899,63678,2025-04-06,560000,5,,560
,62668,,59000,1,,59
79904,62668,2025-05-23,53000,,,53
79907,62668,2025-01-11,,1,,76
,62668,2025-05-13,16000,1,No disponible,16
79913,55602,2025-03-27,1220000,10,No disponible,1220
79915,59189,2025-06-01,-952000,7,No disponible,952
79920,60996,2025-02-25,498000,3,No disponible,498
79921,60996,2025-01-23,-339000,3,No disponible,339
,60996,2025-01-05,,3,No disponible,156
79923,60996,2025-03-19,57000,,No disponible,57
79924,60996,2025-01-01,1047000,3,No disponible,1047
79925,63226,2025-01-08,-561000,3,No disponible,561
79927,63226,2025-04-28,189000,3,,63
79929,63226,2025-03-16,285000,,No disponible,-285
,63226,2025-01-18,492000,3,No disponible,492
,63226,2025-02-09,108000,3,No disponible,
79942,60649,2025-08-14,60000,10,No disponible,-60
,60649,,600000,10,No disponible,600
79955,64888,2025-09-21,-1620000,10,No disponible,
,63172,2025-04-16,270000,5,No disponible,
79959,62216,2025-01-13,-258000,2,,258
79973,65502,2025-05-09,1030000,10,No disponible,1030
79974,65502,2025-02-27,140000,10,No disponible,700
79975,65502,2026-02-12,720000,10,No disponible,720
79976,65502,2025-08-05,1640000,10,No disponible,1640
79977,65502,2025-06-27,2410000,,No disponible,2410
79978,65502,2026-05-10,1270000,10,No disponible,
79982,55970,2025-07-30,1386000,7,No disponible,-1386
79983,58914,2025-03-08,362000,2,No disponible,362
79984,58914,2025-01-19,160000,2,No disponible,160
79985,58914,2025-05-16,260000,2,No disponible,260
79987,58914,2025-05-25,54000,2,No disponible,54
79988,58914,2025-01-18,144000,2,No disponible,144
79989,58914,2025-01-21,138000,2,No disponible,138
79990,58914,2025-03-13,170000,2,No disponible,170
79991,58914,2025-01-07,92000,2,No disponible,92
79996,64600,,-345000,5,No disponible,345
79997,64600,2026-02-16,450000,5,,450
79999,64600,2025-09-13,670000,,No disponible,-670
,64600,2026-04-26,870000,,No disponible,870
80004,61185,2025-05-19,1368000,6,,228
80011,55718,2025-03-22,,7,,-1071
80012,55718,2025-03-13,-371000,7,No disponible,371
,62747,2025-09-04,57000,,No disponible,57
,62747,2025-06-22,198000,3,,198
80020,58774,2025-05-30,970000,10,No disponible,970
80024,56402,2025-01-06,-96000,4,No disponible,-96
80025,56402,2025-03-26,196000,4,,196
80027,63363,,124000,1,No disponible,
80028,63363,2025-06-05,540000,1,No disponible,
80029,63363,2025-05-22,50000,1,No disponible,50
80030,63363,2025-09-08,67000,,No disponible,67
80031,63363,,62000,1,No disponible,62
80032,63363,2026-07-20,,1,No disponible,445
80033,63363,2026-07-24,88000,1,No disponible,88
80034,63363,2026-06-01,142000,1,No disponible,142
80035,59200,2025-08-20,-415000,5,No disponible,415
80037,59200,2025-03-28,-180000,5,No disponible,180
80039,59200,,-560000,5,No disponible,560
80040,59200,2025-03-29,112000,5,,80
,,2025-07-20,305000,5,No disponible,305
,59031,2025-06-08,399000,,No disponible,399
