id,empresa,nombre,descripcion,ubicacion,duracion,precio_persona,capacidad,restricciones,fecha_panorama
78492,American Airlines,,,,,,32,{},
78493,Qantas,,,,,,36,{},
78494,Singapore Airlines,,,,,,11,{},
78499,Luxury Escapes,Paseo,Aventúrate en la montaña,Torrelavega,5,83000,20,{},2026-03-27 00:00:00
78505,Kuoni,Visita,Relájate en la playa,Las Palmas de Gran Canaria,5,15000,2,{},
78515,,Paseo,Descubre la gastronomía local,Irún,,,40,{},2026-08-10 00:00:00
78520,All Nippon Airways (ANA),,,,,,79,{},
78538,Thomas Cook,,Descubre la gastronomía local,Palencia,6,63000,18,{},2025-07-13 00:00:00
78539,Expedia Group,Tour,Aventúrate en la montaña,Palencia,6,87000,25,,
78540,Klook,Paseo,Conoce la historia de la ciudad,Palencia,2,,25,{},
78541,,Tour,Aventúrate en la montaña,Palencia,5,48000,17,,
78543,,,,,,,32,{},
78544,,,,,,,4,{},
78546,Expedia Group,,Relájate en la playa,El Ejido,3,84000,20,{},2025-07-06 00:00:00
78548,GetYourGuide,Visita,Aventúrate en la montaña,El Ejido,1,37000,49,{},2025-07-08 00:00:00
78549,Gray Line,Tour,,El Ejido,7,25000,10,{},2025-07-09 00:00:00
78553,Flight Centre Travel Group,Tour,,Lugo,5,10000,14,{},2025-06-05 00:00:00
78554,Travel Leaders Group,Visita,Descubre la gastronomía local,Lugo,6,26000,44,{},2025-06-06 00:00:00
78555,Flight Centre Travel Group,Excursión,,Lugo,,70000,9,{},
78556,Apple Leisure Group,Visita,Disfruta de un día en la naturaleza,Lugo,4,,,{},2025-06-08 00:00:00
78571,Travel Leaders Group,,Conoce la historia de la ciudad,Cerdañola del Vallés,2,50000,38,{},2025-05-12 00:00:00
78573,Avianca,,,,,,9,{},
78578,JetBlue,,,,,,64,{},
78586,Spirit Airlines,,,,,,51,{},
78595,Qantas,,,,,,43,{},
78596,British Airways,,,,,,59,{},
78601,Hays Travel,Tour,Conoce la historia de la ciudad,Sanlúcar de Barrameda,7,49000,22,{},2025-03-03 00:00:00
78608,Abercrombie & Kent,Tour,Relájate en la playa,Viladecans,5,83000,48,{},2026-08-11 00:00:00
78617,Flight Centre Travel Group,Visita,Aventúrate en la montaña,,,87000,21,{},2026-03-09 00:00:00
78618,Expedia Group,Excursión,Disfruta de un día en la naturaleza,Torremolinos,5,-60000,21,{},2026-03-10 00:00:00
78619,Hays Travel,Tour,Aventúrate en la montaña,Torremolinos,7,79000,1,{},2026-03-11 00:00:00
78620,Globus,,Aventúrate en la montaña,,1,18000,16,{},2026-03-12 00:00:00
78621,American Express Global Business Travel,Visita,Disfruta de un día en la naturaleza,Torremolinos,1,57000,9,{},2026-03-13 00:00:00
78629,Klook,Visita,Descubre la gastronomía local,Orense,3,65000,29,{},
78636,BCD Travel,,Disfruta de un día en la naturaleza,Benidorm,4,33000,49,{},2026-02-11 00:00:00
78639,Hays Travel,Aventura,Relájate en la playa,León,4,61000,44,{},2025-03-28 00:00:00
78640,Viator,Tour,,León,7,52000,40,{},2025-03-29 00:00:00
78641,BCD Travel,Excursión,Relájate en la playa,León,4,37000,11,{},2025-03-30 00:00:00
78644,Tripadvisor,Aventura,Disfruta de un día en la naturaleza,Torrelavega,6,51000,40,{},2025-04-02 00:00:00
78645,Luxury Escapes,Paseo,Relájate en la playa,Torrelavega,7,100000,41,{},2025-04-03 00:00:00
78647,RZD (Rusia),,,,,,12,{},
78650,Intrepid Travel,Paseo,Descubre la gastronomía local,Lorca,4,13000,17,{},2026-01-04 00:00:00
78651,Klook,Excursión,Disfruta de un día en la naturaleza,Lorca,7,51000,26,{},2026-01-05 00:00:00
78659,Hays Travel,,Aventúrate en la montaña,,3,,1,{},2026-01-14 00:00:00
78660,Civitatis,Paseo,Relájate en la playa,La Coruña,2,79000,16,{},
78662,Aeroméxico,,,,,,4,{},
78664,Abercrombie & Kent,Visita,Conoce la historia de la ciudad,Palma de Mallorca,3,60000,6,{},2025-08-28 00:00:00
78665,CWT,Aventura,Conoce la historia de la ciudad,Palma de Mallorca,6,68000,36,,2025-08-29 00:00:00
78871,Emirates,,,,,,73,{},
78666,Intrepid Travel,Aventura,Relájate en la playa,Palma de Mallorca,4,68000,16,{},2025-08-30 00:00:00
78667,Turkish Airlines,,,,,,76,{},
78668,All Nippon Airways (ANA),,,,,,15,{},
78672,Thomas Cook,Visita,Aventúrate en la montaña,Algeciras,2,58000,38,{},2025-03-17 00:00:00
78673,American Express Global Business Travel,Excursión,Descubre la gastronomía local,Algeciras,1,100000,28,{},2025-03-18 00:00:00
78674,Klook,Excursión,Disfruta de un día en la naturaleza,Algeciras,4,8000,21,{},2025-03-19 00:00:00
78675,,Tour,Descubre la gastronomía local,Algeciras,3,59000,28,{},2025-03-20 00:00:00
78678,Hays Travel,Excursión,Relájate en la playa,,2,57000,41,{},2025-03-23 00:00:00
78682,Insight Vacations,Tour,Descubre la gastronomía local,Inca,3,63000,29,{},2025-08-25 00:00:00
78683,American Express Global Business Travel,Paseo,Relájate en la playa,Inca,7,,44,{},2025-08-26 00:00:00
78690,,,,,,,37,{},
78692,EF Tours,Paseo,Relájate en la playa,Algeciras,5,,10,{},2026-07-23 00:00:00
78693,American Express Global Business Travel,Visita,Relájate en la playa,Algeciras,2,27000,2,{},
78697,GetYourGuide,Excursión,Relájate en la playa,La Línea de la Concepción,5,38000,5,{},2026-07-28 00:00:00
78698,G Adventures,Excursión,Descubre la gastronomía local,La Línea de la Concepción,2,25000,,{},2026-07-29 00:00:00
78699,Travel Leaders Group,Tour,Disfruta de un día en la naturaleza,La Línea de la Concepción,2,24000,26,{},2026-07-30 00:00:00
78700,National Geographic Expeditions,Aventura,Relájate en la playa,La Línea de la Concepción,1,100000,40,{},2026-07-31 00:00:00
78701,G Adventures,Aventura,Conoce la historia de la ciudad,La Línea de la Concepción,,85000,19,{},2026-08-01 00:00:00
78702,Kuoni,Tour,Aventúrate en la montaña,La Línea de la Concepción,5,66000,16,{},2026-08-02 00:00:00
78705,Renfe,,,,,,53,{},
78732,GetYourGuide,,,Ciudad Real,7,-45000,32,{},2026-02-25 00:00:00
78721,Klook,Paseo,Disfruta de un día en la naturaleza,Santa Coloma de Gramanet,6,91000,18,{},2026-09-25 00:00:00
78724,Secret Escapes,Visita,Relájate en la playa,Santa Coloma de Gramanet,5,99000,10,{},2026-09-28 00:00:00
78726,EasyJet,,,,,,71,{},
78727,Air Canada,,,,,,63,{},
78728,Wizz Air,,,,,,14,{},
78730,Exodus Travels,Excursión,Relájate en la playa,Ciudad Real,2,12000,28,{},2026-02-23 00:00:00
78731,Intrepid Travel,Paseo,,Ciudad Real,7,29000,6,{},2026-02-24 00:00:00
78738,Contiki,Excursión,Relájate en la playa,Parla,4,82000,17,{},2026-02-01 00:00:00
78739,,Paseo,Relájate en la playa,Parla,5,35000,34,{},2026-02-02 00:00:00
78741,Travel Leaders Group,Tour,Relájate en la playa,Parla,7,81000,34,{},2026-02-04 00:00:00
78744,Thomas Cook,Visita,Disfruta de un día en la naturaleza,Murcia,1,35000,47,,2026-02-08 00:00:00
78745,Hays Travel,,Relájate en la playa,Murcia,6,18000,12,,2026-02-09 00:00:00
78746,Expedia Group,Aventura,Disfruta de un día en la naturaleza,Murcia,5,21000,50,{},2026-02-10 00:00:00
78747,Travel Leaders Group,Paseo,,Murcia,2,15000,5,{},2026-02-11 00:00:00
78750,Booking Holdings,Visita,Conoce la historia de la ciudad,Jaén,1,35000,36,{},2026-02-15 00:00:00
78752,G Adventures,Aventura,Conoce la historia de la ciudad,Jaén,5,9000,19,{},2026-02-17 00:00:00
78753,Thomas Cook,Tour,Relájate en la playa,Jaén,1,72000,15,{},2026-02-18 00:00:00
78754,Travel Leaders Group,Visita,Conoce la historia de la ciudad,Jaén,1,63000,16,{},2026-02-19 00:00:00
78755,Trafalgar,Excursión,Conoce la historia de la ciudad,Jaén,1,47000,34,{},2026-02-20 00:00:00
78763,Kuoni,Visita,Aventúrate en la montaña,Ciudad Real,4,51000,42,{},2026-10-16 00:00:00
78764,Exodus Travels,Paseo,,Ciudad Real,2,86000,21,{},2026-10-17 00:00:00
78765,Expedia Group,Visita,Relájate en la playa,Ciudad Real,3,42000,9,{},2026-10-18 00:00:00
78766,Travel Leaders Group,Tour,Descubre la gastronomía local,Ciudad Real,1,78000,27,{},
78767,Kuoni,Excursión,Aventúrate en la montaña,Ciudad Real,6,85000,7,{},2026-10-20 00:00:00
78770,Secret Escapes,,Relájate en la playa,Baracaldo,,58000,39,{},2026-10-22 00:00:00
78771,Expedia Group,Excursión,Relájate en la playa,Baracaldo,7,51000,43,{},2026-10-23 00:00:00
78781,GetYourGuide,Visita,Disfruta de un día en la naturaleza,Reus,1,95000,42,{},2026-04-14 00:00:00
78793,Flight Centre Travel Group,Aventura,Aventúrate en la montaña,Torremolinos,1,18000,48,{},2026-06-14 00:00:00
78796,Emirates,,,,,,38,{},
78802,Alaska Airlines,,,,,,90,{},
78804,Thomas Cook,Tour,Descubre la gastronomía local,Zamora,5,36000,45,{},2026-01-16 00:00:00
78808,WestJet,,,,,,47,{},
78813,Booking Holdings,Paseo,Conoce la historia de la ciudad,Valdemoro,,70000,5,{},2025-01-13 00:00:00
78817,Booking Holdings,Aventura,Aventúrate en la montaña,Ferrol,5,36000,12,{},
78823,CD (República Checa),,,,,,94,{},
78826,Hays Travel,,Disfruta de un día en la naturaleza,Castellón de la Plana,6,60000,,{},2026-11-21 00:00:00
78827,Luxury Escapes,,Conoce la historia de la ciudad,Castellón de la Plana,3,75000,18,{},2026-11-22 00:00:00
78842,All Nippon Airways (ANA),,,,,,66,{},
78848,Flight Centre Travel Group,Aventura,Aventúrate en la montaña,Gecho,5,87000,31,{},2025-06-12 00:00:00
78854,National Geographic Expeditions,Aventura,Relájate en la playa,Gandía,6,73000,39,{},2025-12-23 00:00:00
78855,Kuoni,Excursión,Aventúrate en la montaña,Gandía,2,,11,{},2025-12-24 00:00:00
78856,BCD Travel,Aventura,Aventúrate en la montaña,Gandía,3,12000,,{},2025-12-25 00:00:00
78857,Abercrombie & Kent,Tour,Conoce la historia de la ciudad,Gandía,2,36000,,{},2025-12-26 00:00:00
78867,Luxury Escapes,Visita,Relájate en la playa,Torremolinos,2,100000,35,{},2026-05-21 00:00:00
78870,CWT,Paseo,Aventúrate en la montaña,Coslada,6,57000,,{},2025-12-12 00:00:00
78879,Air France,,,,,,70,{},
78889,WestJet,,,,,,70,,
78896,Hays Travel,Excursión,Conoce la historia de la ciudad,Guadalajara,5,52000,21,{},2026-01-18 00:00:00
78899,Globus,Tour,Conoce la historia de la ciudad,Tarrasa,2,5000,42,{},2026-01-21 00:00:00
78915,CWT,Aventura,Disfruta de un día en la naturaleza,,6,51000,42,{},2026-08-21 00:00:00
78917,Civitatis,Paseo,,Elche,3,,11,{},2026-08-23 00:00:00
78922,,Tour,Aventúrate en la montaña,Sevilla,6,65000,21,{},2026-08-12 00:00:00
78924,Abercrombie & Kent,Excursión,Disfruta de un día en la naturaleza,Sevilla,6,14000,19,{},2026-08-14 00:00:00
78933,Kuoni,,Descubre la gastronomía local,El Ejido,2,70000,19,{},2026-03-27 00:00:00
78934,Kuoni,Excursión,Disfruta de un día en la naturaleza,El Ejido,1,77000,48,{},2026-03-28 00:00:00
78937,G Adventures,,Disfruta de un día en la naturaleza,El Ejido,4,90000,30,{},
78938,Expedia Group,Aventura,Conoce la historia de la ciudad,,1,28000,30,{},
78939,United Airlines,,,,,,18,,
78945,Intrepid Travel,Excursión,Conoce la historia de la ciudad,Orihuela,2,53000,7,{},
78949,Viator,Aventura,Conoce la historia de la ciudad,Orihuela,3,,18,{},2025-04-25 00:00:00
78953,EF Tours,,Relájate en la playa,León,5,33000,15,{},2025-04-29 00:00:00
78961,Abercrombie & Kent,,Descubre la gastronomía local,Badajoz,7,55000,12,{},2025-05-06 00:00:00
78964,Turkish Airlines,,,,,,83,{},
78965,Avianca,,,,,,29,{},
78967,TUI Group,Paseo,Aventúrate en la montaña,Rubí,6,30000,21,{},2026-01-31 00:00:00
78968,Abercrombie & Kent,Paseo,Conoce la historia de la ciudad,Rubí,1,13000,29,{},2026-02-01 00:00:00
78969,Trafalgar,Aventura,Relájate en la playa,Rubí,5,,8,,2026-02-02 00:00:00
78970,Luxury Escapes,Visita,Conoce la historia de la ciudad,,4,58000,50,{},2026-02-03 00:00:00
78971,G Adventures,Excursión,Conoce la historia de la ciudad,Rubí,4,17000,6,{},2026-02-04 00:00:00
78972,Lufthansa,,,,,,,{},
78986,Contiki,Tour,Descubre la gastronomía local,Sevilla,5,42000,22,{},2025-04-24 00:00:00
79006,Contiki,Excursión,Descubre la gastronomía local,Huelva,2,37000,18,{},2025-01-03 00:00:00
79007,Civitatis,Paseo,Aventúrate en la montaña,Huelva,6,46000,13,{},2025-01-04 00:00:00
79010,Globus,Tour,Descubre la gastronomía local,Huelva,4,100000,40,{},2025-01-07 00:00:00
79013,Gray Line,Visita,Disfruta de un día en la naturaleza,Motril,7,99000,2,{},2025-01-10 00:00:00
79014,Flight Centre Travel Group,Visita,Disfruta de un día en la naturaleza,Motril,6,6000,46,{},2025-01-11 00:00:00
79015,,Aventura,Descubre la gastronomía local,Motril,7,75000,13,{},2025-01-12 00:00:00
79019,BCD Travel,Paseo,,Telde,6,78000,,{},2025-01-17 00:00:00
79020,Intrepid Travel,Visita,,Telde,1,36000,8,{},2025-01-18 00:00:00
79021,Contiki,Paseo,Descubre la gastronomía local,Telde,1,65000,13,{},2025-01-19 00:00:00
79022,Booking Holdings,Aventura,Disfruta de un día en la naturaleza,Telde,,77000,36,{},2025-01-20 00:00:00
79023,Air France,,,,,,,{},
79025,Secret Escapes,Tour,Conoce la historia de la ciudad,Paterna,2,11000,40,{},2025-04-15 00:00:00
79026,Thomas Cook,Paseo,Descubre la gastronomía local,Paterna,1,,46,{},2025-04-16 00:00:00
79027,Hays Travel,Visita,Relájate en la playa,Paterna,1,18000,29,{},2025-04-17 00:00:00
79030,Exodus Travels,,Conoce la historia de la ciudad,Paterna,6,34000,45,{},2025-04-20 00:00:00
79033,,Visita,Aventúrate en la montaña,Las Palmas de Gran Canaria,1,25000,16,{},2025-04-22 00:00:00
79034,American Express Global Business Travel,Excursión,Relájate en la playa,Las Palmas de Gran Canaria,5,23000,11,{},2025-04-23 00:00:00
79035,Flight Centre Travel Group,Tour,Descubre la gastronomía local,Las Palmas de Gran Canaria,7,23000,28,{},2025-04-24 00:00:00
79040,G Adventures,Tour,Disfruta de un día en la naturaleza,Valladolid,7,91000,30,,
79049,Abercrombie & Kent,Excursión,Conoce la historia de la ciudad,Hospitalet de LLobregat,4,76000,2,{},2025-12-16 00:00:00
79050,Flight Centre Travel Group,Visita,Disfruta de un día en la naturaleza,Hospitalet de LLobregat,3,19000,7,{},2025-12-17 00:00:00
79051,Globus,Visita,Descubre la gastronomía local,,6,9000,24,{},2025-12-18 00:00:00
79052,Luxury Escapes,Tour,Disfruta de un día en la naturaleza,Hospitalet de LLobregat,1,97000,10,{},2025-12-19 00:00:00
79053,Avianca,,,,,,11,{},
79054,Air France,,,,,,100,{},
79055,Vueling,,,,,,93,{},
79064,Intrepid Travel,Tour,Descubre la gastronomía local,Murcia,4,17000,32,{},2026-10-18 00:00:00
79065,Intrepid Travel,Visita,Relájate en la playa,Murcia,5,77000,33,{},2026-10-19 00:00:00
79066,,Aventura,,Murcia,6,98000,7,{},2026-10-20 00:00:00
79069,CWT,Excursión,Aventúrate en la montaña,Orihuela,,48000,27,{},
79077,EF Tours,Paseo,Conoce la historia de la ciudad,Badalona,7,94000,,{},2025-05-14 00:00:00
79085,,,Relájate en la playa,Santa Lucía de Tirajana,5,53000,13,{},2026-10-13 00:00:00
79089,Luxury Escapes,,Disfruta de un día en la naturaleza,Torremolinos,4,80000,6,{},2026-10-17 00:00:00
79091,G Adventures,Aventura,Descubre la gastronomía local,Torremolinos,,54000,44,{},2026-10-19 00:00:00
79095,Delta Air Lines,,,,,,70,{},
79097,Frontier Airlines,,,,,,23,{},
79098,Air Canada,,,,,,72,{},
79100,Exodus Travels,Visita,Disfruta de un día en la naturaleza,Gijón,6,98000,8,{},2025-02-06 00:00:00
79101,British Airways,,,,,,88,{},
79103,Thomas Cook,Visita,Relájate en la playa,La Coruña,3,52000,21,{},2026-02-21 00:00:00
79104,Luxury Escapes,Paseo,Aventúrate en la montaña,La Coruña,4,84000,28,{},2026-02-22 00:00:00
79106,Japan Airlines,,,,,,11,{},
79110,,,,,,,56,{},
79120,Insight Vacations,Paseo,Descubre la gastronomía local,,3,96000,16,{},2025-10-17 00:00:00
79121,Globus,Aventura,Aventúrate en la montaña,Puertollano,7,75000,41,{},
79162,Exodus Travels,Paseo,Conoce la historia de la ciudad,Alcalá de Guadaira,6,73000,35,{},2025-01-13 00:00:00
79137,Southwest Airlines,,,,,,65,{},
79140,TUI Group,Aventura,Aventúrate en la montaña,Cáceres,5,40000,16,{},2025-08-19 00:00:00
79141,Travel Leaders Group,Aventura,Conoce la historia de la ciudad,Cáceres,6,,24,{},2025-08-20 00:00:00
79142,BCD Travel,Paseo,Conoce la historia de la ciudad,Cáceres,5,87000,41,{},2025-08-21 00:00:00
79143,Secret Escapes,Visita,Disfruta de un día en la naturaleza,Cáceres,5,,11,{},2025-08-22 00:00:00
79144,Copa Airlines,,,,,,41,{},
79145,Iberia,,,,,,51,{},
79147,G Adventures,Excursión,Relájate en la playa,Badalona,5,40000,6,{},2025-06-28 00:00:00
79148,Luxury Escapes,Tour,Descubre la gastronomía local,Badalona,3,56000,14,{},2025-06-29 00:00:00
79149,Insight Vacations,Tour,Conoce la historia de la ciudad,Badalona,4,81000,45,{},2025-06-30 00:00:00
79150,Globus,Tour,Relájate en la playa,Badalona,3,51000,4,{},2025-07-01 00:00:00
79151,All Nippon Airways (ANA),,,,,,,{},
79152,Air France,,,,,,19,{},
79157,American Express Global Business Travel,Aventura,Disfruta de un día en la naturaleza,Elda,4,8000,31,{},2025-05-10 00:00:00
79163,Insight Vacations,Aventura,Descubre la gastronomía local,Alcalá de Guadaira,2,41000,45,{},2025-01-14 00:00:00
79164,American Express Global Business Travel,Excursión,Descubre la gastronomía local,Alcalá de Guadaira,5,12000,39,,2025-01-15 00:00:00
79165,BCD Travel,Visita,Conoce la historia de la ciudad,Alcalá de Guadaira,,27000,47,{},2025-01-16 00:00:00
79166,Eurostar,,,,,,25,{},
79169,,Tour,Descubre la gastronomía local,Alcalá de Henares,1,26000,44,{},2025-01-19 00:00:00
79170,Intrepid Travel,Visita,Conoce la historia de la ciudad,Alcalá de Henares,1,32000,48,{},2025-01-20 00:00:00
79171,Exodus Travels,Excursión,Conoce la historia de la ciudad,Alcalá de Henares,4,19000,26,{},2025-01-21 00:00:00
79172,Trafalgar,Visita,Aventúrate en la montaña,Alcalá de Henares,3,59000,6,{},
79178,Booking Holdings,Tour,,Alicante,3,,13,{},2025-04-04 00:00:00
79184,Abercrombie & Kent,Aventura,Conoce la historia de la ciudad,San Sebastián,7,,,{},2025-02-09 00:00:00
79188,Avianca,,,,,,53,{},
79189,Air New Zealand,,,,,,38,{},
79198,,Visita,Conoce la historia de la ciudad,Badalona,2,,34,{},2026-01-08 00:00:00
79205,Abercrombie & Kent,Paseo,Relájate en la playa,Cuenta,7,-53000,26,{},
79206,Flight Centre Travel Group,Visita,Aventúrate en la montaña,Cuenta,1,,,{},2026-04-14 00:00:00
79207,Insight Vacations,Visita,Relájate en la playa,Cuenta,5,10000,,{},2026-04-15 00:00:00
79208,Civitatis,,Conoce la historia de la ciudad,Cuenta,3,18000,42,{},2026-04-16 00:00:00
79209,National Geographic Expeditions,Aventura,Descubre la gastronomía local,Cuenta,5,31000,39,{},2026-04-17 00:00:00
79210,G Adventures,Paseo,Aventúrate en la montaña,Cuenta,1,96000,25,{},2026-04-18 00:00:00
79215,Kuoni,Excursión,Relájate en la playa,Palma de Mallorca,5,17000,25,{},2025-06-18 00:00:00
79216,Exodus Travels,Paseo,Relájate en la playa,Palma de Mallorca,7,81000,,{},2025-06-19 00:00:00
79217,Expedia Group,Excursión,Aventúrate en la montaña,Palma de Mallorca,3,17000,50,{},2025-06-20 00:00:00
79221,Abercrombie & Kent,Tour,Conoce la historia de la ciudad,Ceuta,6,92000,,{},2025-06-23 00:00:00
79223,Booking Holdings,Tour,Relájate en la playa,Ceuta,2,-76000,45,{},2025-06-25 00:00:00
79227,BCD Travel,Aventura,Relájate en la playa,Vitoria,4,,46,{},2026-05-16 00:00:00
79228,Secret Escapes,Excursión,Aventúrate en la montaña,Vitoria,2,77000,22,{},2026-05-17 00:00:00
79234,Viator,Paseo,Descubre la gastronomía local,San Fernando,7,,,{},2026-05-24 00:00:00
79235,Tripadvisor,Tour,Aventúrate en la montaña,San Fernando,,-27000,42,{},2026-05-25 00:00:00
79236,Thomas Cook,Tour,Relájate en la playa,San Fernando,,17000,28,{},2026-05-26 00:00:00
79242,National Geographic Expeditions,Aventura,Conoce la historia de la ciudad,Linares,6,40000,25,{},2026-03-20 00:00:00
79243,Secret Escapes,Tour,Aventúrate en la montaña,Linares,2,92000,22,{},2026-03-21 00:00:00
79244,Insight Vacations,Excursión,Conoce la historia de la ciudad,Linares,1,69000,34,{},2026-03-22 00:00:00
79245,Ryanair,,,,,,26,{},
79251,American Express Global Business Travel,Paseo,Relájate en la playa,El Puerto de Santa María,3,70000,36,{},2026-04-23 00:00:00
79252,LATAM Airlines,,,,,,27,{},
79254,EF Tours,Excursión,Descubre la gastronomía local,Alcobendas,5,23000,27,{},2026-03-01 00:00:00
79256,Viator,Paseo,Descubre la gastronomía local,Alcobendas,,67000,25,{},
79266,Wizz Air,,,,,,,{},
79268,Booking Holdings,,Relájate en la playa,Estepona,,50000,4,{},2025-03-19 00:00:00
79275,G Adventures,,Disfruta de un día en la naturaleza,Torrejón de Ardoz,4,80000,28,{},2026-09-30 00:00:00
79280,GetYourGuide,Aventura,Descubre la gastronomía local,Alcobendas,6,35000,19,{},
79283,American Express Global Business Travel,Excursión,Relájate en la playa,Almería,7,,25,{},2026-05-09 00:00:00
79286,Southwest Airlines,,,,,,18,{},
79288,Civitatis,Tour,Descubre la gastronomía local,El Prat de LLobregat,1,,18,{},2025-02-01 00:00:00
79289,Frontier Airlines,,,,,,92,{},
79292,TUI Group,Aventura,Disfruta de un día en la naturaleza,Ciudad Real,2,40000,,{},
79300,EasyJet,,,,,,46,{},
79302,TGV (SNCF),,,,,,80,{},
79311,PKP (Polonia),,,,,,39,{},
79312,Aeroméxico,,,,,,47,{},
79314,Hays Travel,Tour,Relájate en la playa,El Prat de LLobregat,3,99000,6,{},2026-11-06 00:00:00
79324,Emirates,,,,,,65,{},
79327,Kuoni,,Aventúrate en la montaña,El Puerto de Santa María,3,,23,{},2026-06-05 00:00:00
79330,Ethiopian Airlines,,,,,,59,{},
79335,BCD Travel,Aventura,,Burgos,1,15000,12,{},2025-11-20 00:00:00
79356,G Adventures,Visita,Aventúrate en la montaña,Palma de Mallorca,2,67000,27,{},2026-10-15 00:00:00
79357,Flight Centre Travel Group,Visita,Aventúrate en la montaña,Palma de Mallorca,3,,12,{},
79360,Expedia Group,Paseo,Disfruta de un día en la naturaleza,La Línea de la Concepción,,89000,,,
79367,National Geographic Expeditions,Visita,Conoce la historia de la ciudad,,5,41000,1,{},2026-09-25 00:00:00
79368,Viator,Visita,Aventúrate en la montaña,Lugo,6,89000,,{},2026-09-26 00:00:00
79383,Secret Escapes,Visita,Descubre la gastronomía local,Burgos,6,40000,26,{},2026-06-19 00:00:00
79389,Travel Leaders Group,Tour,Conoce la historia de la ciudad,Pozuelo de Alarcón,1,-25000,19,{},
79393,Kuoni,Aventura,Disfruta de un día en la naturaleza,Santander,2,6000,17,{},
79394,Abercrombie & Kent,,Disfruta de un día en la naturaleza,Santander,5,36000,49,{},2026-04-17 00:00:00
79395,American Express Global Business Travel,Aventura,Relájate en la playa,Santander,4,65000,38,{},2026-04-18 00:00:00
79396,Tripadvisor,Tour,Conoce la historia de la ciudad,Santander,,29000,2,,2026-04-19 00:00:00
79402,NSB (Noruega),,,,,,76,{},
79404,Air Canada,,,,,,50,{},
79407,Trafalgar,Paseo,Aventúrate en la montaña,Lugo,3,,16,{},2026-03-23 00:00:00
79410,GetYourGuide,Tour,Relájate en la playa,Segovia,3,44000,28,{},2026-03-25 00:00:00
79411,Civitatis,Aventura,Relájate en la playa,Segovia,3,32000,40,{},2026-03-26 00:00:00
79412,Globus,Tour,Conoce la historia de la ciudad,Segovia,7,31000,39,{},2026-03-27 00:00:00
79413,Qantas,,,,,,91,{},
79416,CWT,Visita,Conoce la historia de la ciudad,Oviedo,2,43000,11,{},2025-03-16 00:00:00
79417,Expedia Group,Excursión,Disfruta de un día en la naturaleza,Oviedo,1,76000,27,{},2025-03-17 00:00:00
79418,Vueling,,,,,,31,{},
79816,Klook,Paseo,Relájate en la playa,Barcelona,2,31000,25,{},2025-02-01 00:00:00
79424,Globus,Visita,Descubre la gastronomía local,Rivas-Vaciamadrid,4,8000,45,{},2025-06-04 00:00:00
79425,National Geographic Expeditions,Paseo,Aventúrate en la montaña,Rivas-Vaciamadrid,2,,5,{},2025-06-05 00:00:00
79447,Intrepid Travel,Excursión,Conoce la historia de la ciudad,San Fernando,5,54000,46,{},2025-08-19 00:00:00
79448,Intrepid Travel,Paseo,Descubre la gastronomía local,San Fernando,4,49000,28,{},2025-08-20 00:00:00
79451,Booking Holdings,Excursión,Relájate en la playa,Granollers,2,71000,17,{},2025-01-27 00:00:00
